"id","inlink_type","priv_create","priv_select","priv_delete","caption","det","create","select_query","select_keyfield","select_searchfield","select_textfield","select_link","select_trace"
"DET01C","DET0AF",\N,\N,\N,"Documento de venta","DET01C","/!/ventas/venta/_new/","SELECT v.sys_pk, DATE_FORMAT(v.fecha,'%Y-%m-%d') fecha, v.referencia, CONCAT(d.const,'-',c.nombre) doc FROM venta v INNER JOIN cliente c ON v.icliente = c.sys_pk INNER JOIN cdocumentos d ON v.documento = d.id WHERE v.referencia LIKE CONCAT('%',@search,'%')","sys_pk","referencia","doc","/!/ventas/venta/@key/","@referencia"
"DET095|DET01C","DET095",\N,\N,\N,"Documento de venta","DET01C","/!/ventas/venta/_new/","SELECT v.sys_pk, DATE_FORMAT(v.fecha,'%Y-%m-%d') fecha, v.referencia, CONCAT(d.const,'-',c.nombre) doc FROM venta v INNER JOIN cliente c ON v.icliente = c.sys_pk INNER JOIN cdocumentos d ON v.documento = d.id WHERE v.referencia LIKE CONCAT('%',@search,'%')","sys_pk","referencia","doc","/!/ventas/venta/@key/","@referencia"
